no,open_date,close_date,is_short,open_rate,close_rate,stake_amount,amount,profit_abs,profit_ratio,funding_fees,exit_reason,enter_tag,leverage
54,2022-08-30 04:00:00+00:00,2022-08-31 04:00:00+00:00,True,20261.4,20392.7,7962.7302,0.393,-60.47944951,-0.007599115233388304,-0.8900188607995733,exit_signal,HOSTILE,1.0
55,2022-09-01 04:00:00+00:00,2022-09-03 04:00:00+00:00,True,20017.0,19890.3,7926.732,0.396,43.66599964,0.0055114571253047145,1.3944450409784743,exit_signal,HOSTILE,1.0
56,2022-09-04 04:00:00+00:00,2022-09-06 04:00:00+00:00,True,19766.0,19780.3,7945.932,0.402,-12.13339538,-0.001527758494857026,1.564010921080767,exit_signal,HOSTILE,1.0
57,2022-09-07 04:00:00+00:00,2022-09-11 04:00:00+00:00,True,18736.2,21537.4,7944.1488,0.424,-1190.30280645,-0.14990885563193238,5.94399674935245,exit_signal,HOSTILE,1.0
58,2022-09-17 04:00:00+00:00,2022-09-19 04:00:00+00:00,True,19875.1,18766.2,7353.787,0.37,405.14721954,0.05512124494321682,2.0028600408530024,exit_signal,HOSTILE,1.0
59,2022-09-20 04:00:00+00:00,2022-10-27 04:00:00+00:00,True,19353.8,20744.3,7567.3358,0.391,-504.11879679,-0.06665106394262833,47.40588176197147,exit_signal,HOSTILE,1.0
60,2022-10-29 04:00:00+00:00,2022-11-08 04:00:00+00:00,True,20745.2,20140.6,7302.3104,0.352,215.26192708,0.029493352115782828,9.638627884779035,exit_signal,HOSTILE,1.0
61,2022-11-14 04:00:00+00:00,2022-11-15 04:00:00+00:00,True,16130.0,16809.0,7419.8,0.46,-321.42828144,-0.04334201406749359,-1.512311444603842,exit_signal,HOSTILE,1.0
62,2022-11-25 04:00:00+00:00,2022-11-28 04:00:00+00:00,True,16480.2,16169.0,7267.7682,0.441,130.82481555,0.018009691156680007,0.7847641493860961,exit_signal,HOSTILE,1.0
63,2022-12-27 04:00:00+00:00,2022-12-28 04:00:00+00:00,True,16868.1,16643.2,7320.7554,0.434,90.86562533,0.012418265042762555,0.530977428973074,exit_signal,HOSTILE,1.0
64,2022-12-31 04:00:00+00:00,2023-01-05 04:00:00+00:00,True,16549.0,16819.0,7364.305,0.445,-121.644966,-0.016526450073626055,5.9294140035233935,exit_signal,HOSTILE,1.0
