,A_tp_fixe_1.5R,HOLD_sl_seul,B_proxy_G1G3G4G7,TP1+trail_chand_3atr,TP1+trail_chand_5atr,TP1+trail_chand_8atr,TP1+giveback_33pct,TP1+giveback_50pct,TP1+BE+trail5atr,TP1+trail5atr+ts48,A_fixe+ts24,TP1+giveback50+BE
BNB/USDT-1754884800000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1755201600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1758283200000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BNB/USDT-1758297600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BTC/USDT-1519243200000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BTC/USDT-1519257600000,1.5,-1.0,1.064137396085544,0.6314973225632026,0.25,0.25,0.25,0.25,0.8,0.25,1.5,0.8
BTC/USDT-1524657600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BTC/USDT-1531987200000,1.5,-1.0,1.0801068726121106,0.9866094314194807,0.843886774057794,0.25,0.25,0.25,0.843886774057794,0.843886774057794,1.5,0.8
BTC/USDT-1554595200000,1.5,-1.0,0.4796080404566,1.2271123143545293,1.15580437285931,1.0386400567518657,1.2408076977567324,1.2408076977567324,0.8,1.15580437285931,1.5,0.8
BTC/USDT-1558008000000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BTC/USDT-1559059200000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BTC/USDT-1560844800000,1.5,-1.0,0.8,0.25,0.25,0.25,0.25,0.25,0.8,0.25,1.5,0.8
BTC/USDT-1560873600000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
